path,source_relative,bytes,width,height,mode,format,embedded_dpi,sha256,duplicate_of
copper_wire/original/600-dicot-sim-1-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-1-1-120-15-deg0.jpg,9085,109,1930,L,JPEG,,2dfb198bc96fa869dc49c910506f3909e37c8755562812b91412093b8da773ea,
copper_wire/original/600-dicot-sim-10-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-10-1-120-15-deg0.jpg,92166,598,2926,L,JPEG,,249ce99c492dcdae6bbafa9ed72a4522a44de15bc010ed15caca1657186089a4,
copper_wire/original/600-dicot-sim-11-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-11-1-120-15-deg0.jpg,7184,141,1639,L,JPEG,,7e1f170123c1ab18fbd61192f933e4ab1829afc020350b7c8deaadcf45ce372e,
copper_wire/original/600-dicot-sim-12-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-12-1-120-15-deg0.jpg,13303,226,1608,L,JPEG,,f7ee114f816cea1b8e91fbcf16edba0bf6a38692dd19f04590c98e91f38620ba,
copper_wire/original/600-dicot-sim-13-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-13-1-120-15-deg0.jpg,33934,589,2376,L,JPEG,,66e35332a2bfbf12fd23579e23b54173c3c6799a0daa2a45e3772970cb4afa4b,
copper_wire/original/600-dicot-sim-14-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-14-1-120-15-deg0.jpg,7344,116,1720,L,JPEG,,3a6dd017ae69696d3cb903830edcb31885ec8cf6e3ca0e6efc9667d8c840b20a,
copper_wire/original/600-dicot-sim-15-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-15-1-120-15-deg0.jpg,5193,70,1499,L,JPEG,,7a11f7817a754bc4fcd97e78e254f7fcf8af9f3f1e1e79c080be296807b761a4,
copper_wire/original/600-dicot-sim-16-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-16-1-120-15-deg0.jpg,10907,207,1888,L,JPEG,,2071d816fc3d3d9ca9c9a6f9605e912c28a6605bb2c68c4d8652a669f13169f3,
copper_wire/original/600-dicot-sim-17-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-17-1-120-15-deg0.jpg,36113,524,2140,L,JPEG,,b94159ce3b0602d61339b1e53c04d351866be8adbbb741a8d75e8f6893b0d8ad,
copper_wire/original/600-dicot-sim-18-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-18-1-120-15-deg0.jpg,26317,246,2242,L,JPEG,,06d385f6bb5d3c9436efd155fbb026bfddfc605e7b71bfc2226ea8938b513fc9,
copper_wire/original/600-dicot-sim-19-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-19-1-120-15-deg0.jpg,38070,435,2314,L,JPEG,,ee97f5e27876867824263948a01b3a2733308b9069e9a66789dac68e27028dc8,
copper_wire/original/600-dicot-sim-2-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-2-1-120-15-deg0.jpg,19428,331,2238,L,JPEG,,9800ce06dbc833a08369310f7cd289f43650743fe7445c6c5b85b78a36466943,
copper_wire/original/600-dicot-sim-20-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-20-1-120-15-deg0.jpg,71396,673,2949,L,JPEG,,37a9e33a5ef18f81436ee7f60e6c5330a193613cdb546636aa0dce101824a7db,
copper_wire/original/600-dicot-sim-21-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-21-1-120-15-deg0.jpg,18858,260,2062,L,JPEG,,d9fc0324108d0ff15603ed8ae7b3234dbf5a5e04f797bc770bc49fbce2d7d882,
copper_wire/original/600-dicot-sim-22-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-22-1-120-15-deg0.jpg,11293,176,1641,L,JPEG,,500a81c30ce2d5feccde1fd71f9ae6ee2feb93a5eea374ae1ba8ae4aa3e84f12,
copper_wire/original/600-dicot-sim-23-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-23-1-120-15-deg0.jpg,25423,244,2533,L,JPEG,,826190393a03ed9671b666dbf9c522c061b8ad32d6c5b82477ac588ca54e9d81,
copper_wire/original/600-dicot-sim-24-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-24-1-120-15-deg0.jpg,16061,291,2198,L,JPEG,,384c262e2f0e42f18bb57a5b1bab31318fc59cdf94fe004eb7a875ce83f68d84,
copper_wire/original/600-dicot-sim-25-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-25-1-120-15-deg0.jpg,8104,138,1721,L,JPEG,,aeb028d3e549e19082c281c39738e8f26d2d0c3e5573e8aed534d5cf9632b5de,
copper_wire/original/600-dicot-sim-26-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-26-1-120-15-deg0.jpg,37740,476,2226,L,JPEG,,3feb7e49c83492d8dc9902d489466c0800dc49bd8b1c1855193e2341833e3be9,
copper_wire/original/600-dicot-sim-27-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-27-1-120-15-deg0.jpg,15676,205,1979,L,JPEG,,50893ffca291e7c42f9be00c424f304af48872955eb3bb2e8baac5ef611f1e65,
copper_wire/original/600-dicot-sim-28-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-28-1-120-15-deg0.jpg,8962,134,1616,L,JPEG,,c22d74870013629a58d99979bcfe9c10fa03e6cddd0757094318f117d98a32ec,
copper_wire/original/600-dicot-sim-29-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-29-1-120-15-deg0.jpg,60548,900,2780,L,JPEG,,58920bf3ea20990c381363abdf58d1757dd6f74d7bae0442e6007c34cd344606,
copper_wire/original/600-dicot-sim-3-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-3-1-120-15-deg0.jpg,35272,515,2244,L,JPEG,,0c672b87d739a5299a6d60abb34c0821fbfb679250a34b3ee1a5a6a67e6a6ae5,
copper_wire/original/600-dicot-sim-30-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-30-1-120-15-deg0.jpg,20399,270,1975,L,JPEG,,be19f03c0a5790c404d9e820577acf4d41944fb59c1ed0da06ae3a5ce34c9746,
copper_wire/original/600-dicot-sim-31-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-31-1-120-15-deg0.jpg,43635,498,2666,L,JPEG,,2fcf515f50df722700917e086e1d206ba36267c20ec5f729f5b693a45932c338,
copper_wire/original/600-dicot-sim-32-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-32-1-120-15-deg0.jpg,31513,325,2335,L,JPEG,,7af37890212a75fe8b51779231b21c4120faccfc907970ef2d6352a5d3570bf9,
copper_wire/original/600-dicot-sim-33-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-33-1-120-15-deg0.jpg,45897,835,2210,L,JPEG,,be6c30310d8198f72d96ab3128cf06e7b8c4b64e2eb490293db407866ff126b1,
copper_wire/original/600-dicot-sim-34-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-34-1-120-15-deg0.jpg,10828,152,2203,L,JPEG,,09f256676de39850d4721b14fba0efe3c293491a8086b32a7528e478e5fbfbac,
copper_wire/original/600-dicot-sim-35-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-35-1-120-15-deg0.jpg,4636,86,1252,L,JPEG,,0633a8fbc62e1506213a54d520e81a1bb7fd02ecf93c1abb5eb7e85a90cb8d99,
copper_wire/original/600-dicot-sim-36-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-36-1-120-15-deg0.jpg,12711,255,1858,L,JPEG,,ee281f85b5860d063d8051dd7fce595d77ace3c2483f3f635e956001ea31d856,
copper_wire/original/600-dicot-sim-37-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-37-1-120-15-deg0.jpg,43985,580,2265,L,JPEG,,c477588764f09a47663f273ece9c0fa050cff5d5aa6a8c6fa3c7df2a56927dbf,
